Dataset,Solver,Timeout,HTime,Time,Size,Certificate
bqp50_4,huffner,10,3.0,3.0,11,"['13', '14', '17', '19', '20', '23', '36', '41', '42', '45', '7']"
bqp50_5,huffner,10,3.0,3.1,13,"['17', '2', '26', '29', '31', '32', '33', '35', '37', '47', '48', '49', '9']"
bqp50_6,huffner,10,3.0,3.0,9,"['11', '16', '20', '21', '22', '23', '37', '6', '8']"
bqp50_7,huffner,10,3.0,3.0,9,"['1', '13', '14', '15', '16', '23', '39', '43', '47']"
bqp50_8,huffner,10,3.0,3.4,14,"['0', '12', '14', '16', '17', '19', '24', '25', '26', '29', '35', '37', '5', '8']"
bqp50_9,huffner,10,3.0,3.0,12,"['0', '10', '14', '15', '17', '20', '23', '27', '29', '34', '37', '41']"
bqp50_10,huffner,10,3.0,3.0,11,"['0', '12', '15', '18', '25', '26', '3', '4', '41', '6', '7']"
bqp100_1,huffner,10,3.0,10,43,"['10', '12', '13', '19', '26', '27', '34', '36', '39', '4', '46', '52', '57', '67', '71', '72', '73', '88', '91', '98', '99', '60', '17', '23', '47', '80', '61', '1', '29', '31', '54', '89', '90', '62', '2', '14', '93', '83', '6', '53', '65', '79', '9']"
bqp100_2,huffner,10,3.0,10,43,"['11', '13', '2', '21', '22', '26', '3', '31', '34', '40', '48', '51', '56', '59', '66', '69', '71', '72', '74', '75', '85', '96', '14', '47', '68', '41', '87', '27', '76', '12', '99', '94', '16', '98', '28', '93', '73', '45', '29', '7', '54', '20', '23']"
bqp100_3,huffner,10,3.0,10,44,"['1', '10', '18', '23', '25', '31', '33', '34', '36', '46', '47', '50', '52', '53', '56', '57', '58', '63', '65', '9', '98', '74', '76', '40', '19', '39', '59', '6', '20', '71', '82', '86', '38', '35', '77', '8', '60', '0', '26', '81', '45', '22', '73', '43']"
bqp100_4,huffner,10,3.0,10,42,"['22', '23', '3', '32', '4', '42', '44', '45', '48', '58', '6', '66', '70', '75', '79', '8', '81', '85', '94', '99', '46', '61', '10', '37', '97', '24', '35', '11', '54', '86', '43', '20', '34', '21', '36', '14', '68', '73', '64', '92', '30', '69']"
bqp100_5,huffner,10,3.0,10,42,"['0', '1', '18', '19', '2', '20', '27', '28', '3', '32', '33', '34', '42', '44', '45', '5', '63', '71', '8', '83', '90', '14', '51', '55', '38', '79', '67', '64', '4', '26', '10', '73', '94', '80', '99', '81', '58', '15', '31', '72', '82', '17']"
bqp100_6,huffner,10,3.0,10,45,"['0', '13', '14', '18', '2', '30', '34', '4', '48', '50', '53', '55', '63', '66', '68', '72', '73', '8', '83', '9', '97', '82', '76', '64', '15', '96', '56', '59', '1', '33', '45', '17', '93', '52', '10', '67', '98', '99', '25', '44', '90', '94', '47', '46', '43']"
bqp100_7,huffner,10,3.0,10,44,"['1', '13', '18', '2', '20', '23', '31', '4', '42', '44', '46', '57', '60', '61', '75', '8', '87', '9', '93', '95', '96', '36', '51', '52', '28', '86', '94', '22', '40', '33', '68', '38', '84', '53', '80', '37', '77', '27', '16', '76', '21', '7', '56', '34']"
bqp100_8,huffner,10,3.0,10,45,"['13', '14', '17', '25', '27', '48', '54', '56', '61', '68', '70', '71', '72', '76', '77', '80', '83', '90', '93', '99', '9', '18', '5', '15', '65', '40', '41', '95', '75', '6', '36', '92', '22', '79', '39', '11', '29', '58', '33', '50', '81', '34', '94', '74', '21']"
bqp100_9,huffner,10,3.0,10,45,"['14', '18', '20', '24', '32', '33', '34', '43', '45', '48', '5', '53', '54', '57', '60', '68', '69', '73', '81', '83', '87', '95', '99', '13', '10', '19', '61', '62', '64', '7', '30', '12', '35', '75', '93', '4', '6', '98', '15', '96', '11', '47', '17', '74', '39']"
bqp100_10,huffner,10,3.0,10,45,"['19', '21', '28', '33', '39', '4', '42', '50', '54', '57', '63', '66', '74', '75', '78', '79', '80', '81', '90', '92', '91', '99', '55', '97', '58', '6', '12', '62', '64', '67', '71', '46', '89', '17', '18', '31', '47', '11', '43', '20', '45', '40', '36', '65', '49']"
aa10,huffner,10,4.0,4.0,6,"['1', '14', '17', '18', '19', '24']"
aa11,huffner,10,4.0,4.0,11,"['1', '11', '14', '15', '17', '21', '24', '27', '29', '6', '7']"
aa13,huffner,10,4.0,4.0,12,"['15', '20', '22', '24', '26', '28', '30', '35', '36', '4', '41', '42']"
aa14,huffner,10,4.0,7.7,19,"['10', '13', '14', '15', '16', '22', '26', '27', '29', '33', '35', '36', '38', '39', '41', '5', '6', '7', '8']"
aa15,huffner,10,4.0,4.0,6,"['10', '28', '3', '4', '8', '9']"
aa16,huffner,10,4.0,4.0,0,[]
aa17,huffner,10,4.0,9.4,25,"['10', '11', '13', '14', '15', '16', '18', '19', '2', '20', '21', '23', '24', '27', '32', '38', '39', '41', '48', '50', '53', '54', '6', '7', '8']"
aa18,huffner,10,4.0,4.0,14,"['14', '2', '21', '24', '29', '32', '35', '4', '41', '44', '45', '5', '61', '8']"
aa19,huffner,10,4.0,6.0,19,"['10', '20', '21', '22', '24', '25', '27', '32', '35', '36', '37', '38', '4', '47', '49', '5', '56', '60', '9']"
aa20,huffner,10,4.0,4.1,19,"['14', '16', '25', '26', '28', '30', '36', '39', '41', '43', '44', '45', '47', '5', '50', '52', '53', '55', '9']"
aa21,huffner,10,4.0,4.0,0,[]
aa22,huffner,10,4.0,4.0,16,"['0', '1', '11', '14', '2', '21', '22', '23', '27', '28', '31', '32', '36', '41', '46', '7']"
aa23,huffner,10,4.0,4.0,18,"['13', '16', '18', '21', '23', '29', '31', '33', '38', '40', '41', '42', '44', '5', '51', '6', '7', '9']"
aa24,huffner,10,4.0,4.4,21,"['1', '12', '13', '2', '20', '29', '3', '30', '31', '32', '33', '35', '36', '37', '49', '55', '61', '63', '69', '70', '76']"
aa25,huffner,10,4.0,4.0,0,[]
aa26,huffner,10,4.0,4.0,12,"['1', '19', '21', '22', '25', '29', '30', '31', '33', '35', '38', '5']"
aa27,huffner,10,4.0,4.0,11,"['0', '1', '20', '23', '27', '30', '31', '40', '43', '44', '9']"
aa28,huffner,10,4.0,4.1,28,"['11', '13', '14', '15', '17', '18', '20', '24', '25', '28', '30', '31', '32', '35', '36', '37', '41', '46', '49', '52', '53', '54', '59', '60', '62', '63', '64', '9']"
aa29,huffner,10,4.0,4.1,21,"['10', '13', '14', '15', '17', '20', '21', '25', '29', '33', '36', '38', '40', '42', '45', '54', '58', '6', '66', '68', '7']"
aa30,huffner,10,4.0,4.0,4,"['11', '2', '4', '7']"
aa31,huffner,10,4.0,4.0,0,[]
aa32,huffner,10,4.0,10,31,"['0', '1', '10', '11', '14', '16', '19', '20', '21', '23', '24', '27', '30', '32', '33', '35', '36', '39', '4', '45', '49', '52', '55', '56', '57', '59', '6', '60', '65', '9', '53']"
aa33,huffner,10,4.0,4.0,4,"['24', '32', '33', '35']"
aa34,huffner,10,4.0,4.0,13,"['11', '13', '14', '16', '19', '20', '21', '28', '3', '31', '35', '36', '5']"
aa35,huffner,10,4.0,4.0,10,"['0', '13', '14', '16', '20', '21', '3', '30', '32', '37']"
aa36,huffner,10,4.0,4.0,7,"['10', '17', '18', '29', '31', '32', '8']"
aa37,huffner,10,4.0,4.0,4,"['1', '20', '4', '5']"
aa38,huffner,10,4.0,4.5,26,"['0', '16', '18', '21', '22', '25', '26', '29', '35', '38', '39', '41', '42', '47', '48', '49', '5', '50', '52', '56', '6', '60', '62', '63', '65', '7']"
aa39,huffner,10,4.0,5.7,23,"['10', '11', '13', '17', '18', '19', '20', '22', '23', '24', '27', '28', '29', '3', '30', '31', '35', '40', '47', '5', '6', '7', '9']"
aa40,huffner,10,4.0,4.5,22,"['12', '17', '18', '27', '28', '32', '33', '37', '40', '41', '44', '45', '46', '47', '48', '50', '52', '53', '55', '56', '58', '8']"
aa41,huffner,10,4.0,10,42,"['10', '11', '13', '14', '15', '18', '2', '23', '27', '28', '29', '30', '44', '45', '46', '47', '48', '49', '50', '51', '56', '57', '58', '6', '61', '62', '63', '66', '68', '7', '71', '72', '74', '76', '8', '86', '87', '31', '35', '41', '79', '42']"
aa42,huffner,10,4.0,7.0,30,"['1', '10', '11', '16', '18', '24', '28', '31', '33', '47', '49', '5', '50', '56', '58', '59', '61', '65', '66', '69', '74', '75', '77', '78', '79', '80', '81', '84', '85', '86']"
aa43,huffner,10,4.0,4.0,18,"['1', '10', '16', '2', '20', '21', '22', '27', '28', '30', '31', '32', '36', '38', '39', '4', '5', '8']"
aa44,huffner,10,4.0,4.0,10,"['0', '16', '22', '23', '25', '26', '27', '29', '30', '4']"
aa45,huffner,10,4.0,4.1,20,"['11', '12', '17', '2', '20', '21', '22', '23', '24', '26', '29', '3', '33', '35', '36', '37', '38', '4', '42', '6']"
aa46,huffner,10,4.0,4.0,13,"['0', '1', '13', '14', '16', '19', '20', '22', '26', '3', '45', '54', '56']"
aa47,huffner,10,4.0,4.0,13,"['16', '17', '18', '2', '20', '25', '28', '29', '30', '32', '33', '5', '6']"
aa48,huffner,10,4.0,4.0,17,"['0', '1', '15', '16', '17', '18', '19', '20', '23', '27', '30', '33', '34', '37', '38', '6', '9']"
aa49,huffner,10,4.0,4.0,0,[]
aa50,huffner,10,4.0,4.0,18,"['11', '18', '20', '22', '23', '24', '29', '31', '33', '35', '39', '49', '5', '52', '53', '58', '59', '7']"
aa51,huffner,10,4.0,4.0,11,"['1', '11', '24', '25', '3', '35', '41', '42', '6', '7', '9']"
aa52,huffner,10,4.0,4.0,12,"['0', '1', '11', '12', '17', '18', '21', '24', '25', '29', '3', '30']"
aa53,huffner,10,4.0,4.0,12,"['16', '24', '26', '27', '3', '31', '33', '34', '36', '37', '38', '42']"
aa54,huffner,10,4.0,4.0,12,"['12', '15', '16', '18', '19', '20', '26', '29', '31', '35', '40', '42']"
j10,huffner,10,4.0,4.0,3,"['0', '5', '8']"
j11,huffner,10,4.0,4.0,5,"['17', '18', '19', '24', '25']"
j13,huffner,10,4.0,4.0,4,"['17', '24', '29', '5']"
j14,huffner,10,4.0,4.0,3,"['1', '14', '15']"
j15,huffner,10,4.0,4.0,0,[]
j16,huffner,10,4.0,4.0,0,[]
j17,huffner,10,4.0,4.0,10,"['11', '15', '2', '21', '23', '25', '27', '4', '8', '9']"
j18,huffner,10,4.0,4.0,9,"['11', '18', '2', '3', '42', '45', '46', '6', '9']"
j19,huffner,10,4.0,4.0,3,"['10', '11', '14']"
j20,huffner,10,4.0,4.0,0,[]
j21,huffner,10,4.0,4.0,2,"['4', '7']"
j22,huffner,10,4.0,4.0,9,"['31', '35', '37', '38', '39', '40', '41', '43', '44']"
j23,huffner,10,4.0,4.1,19,"['1', '14', '15', '2', '20', '21', '26', '3', '30', '31', '33', '38', '39', '41', '42', '49', '5', '8', '9']"
j24,huffner,10,4.0,4.0,3,"['20', '35', '40']"
j25,huffner,10,4.0,4.0,0,[]
j26,huffner,10,4.0,4.0,6,"['21', '24', '27', '3', '4', '5']"
j28,huffner,10,4.0,4.0,13,"['10', '12', '38', '39', '40', '41', '42', '43', '44', '5', '52', '8', '9']"
gka_1,huffner,10,4.0,4.0,9,"['15', '22', '23', '3', '38', '4', '43', '7', '9']"
gka_2,huffner,10,4.0,5.2,16,"['15', '19', '2', '22', '27', '3', '30', '31', '33', '35', '36', '38', '44', '51', '56', '9']"
gka_3,huffner,10,4.0,10,23,"['10', '15', '19', '23', '24', '29', '3', '38', '45', '46', '47', '49', '52', '54', '57', '59', '60', '61', '64', '69', '9', '25', '20']"
gka_4,huffner,10,4.0,10,30,"['10', '15', '17', '2', '22', '24', '40', '43', '49', '50', '53', '57', '62', '65', '67', '68', '69', '71', '76', '9', '28', '37', '70', '19', '61', '72', '36', '46', '30', '5']"
gka_5,huffner,10,4.0,8.8,22,"['1', '11', '14', '15', '17', '18', '21', '23', '25', '26', '33', '34', '38', '39', '40', '43', '46', '47', '48', '49', '5', '9']"
gka_6,huffner,10,4.0,4.0,16,"['0', '15', '16', '17', '18', '19', '2', '22', '23', '24', '25', '28', '4', '5', '6', '9']"
gka_7,huffner,10,4.0,4.0,18,"['0', '1', '11', '12', '13', '14', '15', '2', '21', '23', '24', '27', '28', '29', '5', '6', '8', '9']"
gka_8,huffner,10,4.0,10,31,"['1', '20', '25', '26', '41', '44', '51', '53', '54', '59', '60', '72', '73', '79', '9', '90', '92', '93', '95', '10', '78', '23', '16', '2', '24', '87', '36', '14', '30', '6', '83']"
gka_9,huffner,10,4.0,4.0,2,"['4', '5']"
gka_10,huffner,10,4.0,4.0,8,"['0', '10', '11', '3', '4', '6', '8', '9']"
gka_11,huffner,10,4.0,4.0,10,"['0', '1', '10', '12', '2', '4', '5', '6', '7', '8']"
gka_12,huffner,10,4.0,4.0,20,"['0', '1', '10', '11', '12', '13', '14', '16', '17', '18', '19', '20', '21', '22', '23', '3', '4', '5', '6', '7']"
gka_13,huffner,10,4.0,4.0,16,"['0', '1', '10', '11', '12', '14', '16', '17', '18', '2', '3', '4', '5', '6', '8', '9']"
gka_14,huffner,10,4.0,4.0,22,"['0', '1', '10', '11', '12', '13', '15', '16', '17', '18', '2', '21', '22', '23', '24', '25', '4', '5', '6', '7', '8', '9']"
gka_15,huffner,10,4.0,4.0,0,[]
gka_16,huffner,10,4.0,4.0,0,[]
gka_17,huffner,10,4.0,4.0,0,[]
gka_18,huffner,10,4.0,4.0,2,"['0', '6']"
gka_19,huffner,10,4.0,4.0,31,"['0', '1', '12', '13', '14', '15', '17', '18', '2', '21', '22', '24', '25', '26', '27', '28', '29', '3', '30', '32', '33', '34', '35', '36', '38', '4', '5', '6', '7', '8', '9']"
gka_20,huffner,10,4.0,4.2,39,"['1', '10', '11', '12', '13', '14', '15', '16', '17', '18', '2', '20', '22', '23', '24', '26', '27', '28', '29', '3', '31', '32', '34', '35', '36', '37', '38', '4', '40', '41', '42', '44', '46', '47', '48', '49', '6', '8', '9']"
gka_21,huffner,10,4.0,10,41,"['0', '1', '10', '11', '17', '18', '2', '20', '21', '22', '24', '25', '27', '28', '29', '3', '31', '33', '34', '35', '39', '4', '41', '43', '47', '48', '49', '50', '52', '53', '54', '55', '56', '59', '6', '7', '8', '42', '30', '9', '5']"
gka_22,huffner,10,4.0,10,44,"['0', '1', '11', '13', '16', '18', '19', '21', '22', '29', '3', '30', '31', '33', '34', '35', '36', '38', '39', '41', '42', '48', '49', '5', '51', '52', '57', '61', '64', '66', '68', '20', '67', '28', '37', '8', '25', '27', '15', '60', '54', '2', '47', '44']"
gka_23,huffner,10,4.0,10,46,"['10', '11', '15', '18', '22', '26', '27', '3', '31', '32', '35', '37', '39', '4', '44', '49', '51', '54', '55', '58', '6', '60', '67', '69', '71', '78', '8', '33', '38', '30', '64', '57', '52', '47', '34', '45', '42', '74', '79', '13', '21', '73', '68', '59', '56', '17']"
gka_24,huffner,10,4.0,10,37,"['18', '21', '25', '27', '33', '34', '36', '39', '42', '43', '45', '47', '51', '59', '62', '67', '72', '75', '83', '86', '56', '61', '4', '35', '69', '28', '19', '74', '84', '73', '0', '54', '78', '68', '16', '81', '23']"
gka_25,huffner,10,4.0,10,44,"['12', '17', '19', '26', '31', '32', '4', '42', '44', '49', '5', '53', '60', '65', '79', '81', '83', '94', '96', '98', '18', '82', '27', '35', '74', '50', '11', '2', '55', '0', '59', '85', '16', '6', '1', '45', '87', '9', '57', '21', '71', '54', '61', '63']"
gka_26,huffner,10,4.0,10,44,"['10', '12', '13', '14', '23', '28', '3', '37', '43', '45', '48', '57', '6', '63', '64', '68', '7', '70', '93', '95', '54', '81', '87', '97', '2', '78', '71', '76', '38', '79', '59', '55', '65', '40', '74', '99', '56', '34', '9', '41', '72', '29', '58', '92']"
gka_27,huffner,10,4.0,10,63,"['11', '13', '15', '16', '17', '19', '20', '23', '26', '28', '32', '36', '41', '42', '45', '47', '48', '52', '53', '54', '6', '63', '66', '68', '74', '84', '9', '99', '10', '37', '31', '29', '94', '51', '87', '2', '46', '49', '60', '78', '67', '85', '21', '8', '89', '58', '12', '75', '81', '91', '25', '3', '14', '97', '57', '72', '30', '92', '56', '44', '73', '76', '65']"
gka_28,huffner,10,4.0,10,72,"['0', '12', '17', '18', '21', '3', '34', '36', '41', '42', '43', '45', '51', '52', '53', '55', '56', '57', '58', '6', '60', '62', '64', '65', '67', '73', '74', '75', '76', '85', '93', '99', '70', '30', '95', '47', '48', '50', '66', '8', '9', '71', '2', '97', '63', '69', '92', '24', '39', '91', '14', '81', '82', '19', '25', '87', '22', '4', '40', '77', '72', '28', '15', '1', '68', '79', '54', '29', '96', '31', '32', '7']"
gka_29,huffner,10,4.0,10,77,"['13', '14', '15', '19', '21', '22', '23', '24', '25', '29', '3', '33', '38', '39', '40', '41', '42', '43', '44', '45', '48', '49', '5', '54', '55', '59', '6', '61', '64', '66', '69', '71', '72', '74', '75', '81', '84', '85', '90', '91', '92', '97', '99', '28', '50', '82', '83', '65', '78', '67', '17', '1', '32', '35', '58', '16', '76', '12', '51', '88', '8', '34', '26', '63', '80', '86', '10', '62', '27', '2', '7', '70', '93', '53', '79', '4', '77']"
gka_30,huffner,10,4.0,10,83,"['0', '10', '12', '13', '16', '18', '20', '21', '22', '24', '26', '29', '30', '31', '33', '34', '35', '36', '37', '38', '39', '40', '43', '46', '48', '49', '50', '51', '53', '54', '56', '57', '58', '59', '61', '68', '7', '71', '73', '75', '76', '78', '79', '8', '81', '82', '85', '87', '88', '93', '95', '96', '97', '98', '1', '70', '15', '55', '17', '6', '92', '74', '89', '64', '14', '32', '42', '28', '60', '72', '86', '80', '9', '47', '45', '91', '3', '25', '4', '27', '23', '66', '62']"
gka_31,huffner,10,4.0,10,86,"['0', '1', '11', '12', '13', '15', '16', '19', '2', '21', '22', '24', '25', '26', '28', '3', '30', '33', '34', '35', '38', '39', '4', '40', '41', '43', '44', '45', '48', '49', '5', '50', '52', '54', '55', '6', '60', '61', '63', '64', '65', '66', '67', '69', '71', '74', '75', '76', '77', '78', '8', '80', '82', '83', '85', '87', '88', '89', '90', '91', '93', '94', '95', '98', '99', '46', '86', '37', '7', '51', '92', '62', '70', '47', '36', '72', '20', '97', '9', '59', '58', '96', '68', '53', '57', '14']"
gka_32,huffner,10,4.0,10,88,"['0', '10', '11', '13', '14', '15', '16', '17', '18', '19', '2', '20', '21', '22', '26', '27', '28', '30', '32', '34', '35', '36', '38', '39', '4', '40', '41', '42', '43', '44', '45', '46', '48', '5', '50', '51', '53', '54', '55', '56', '57', '59', '6', '61', '62', '63', '65', '66', '69', '7', '70', '71', '72', '73', '75', '76', '77', '8', '80', '81', '82', '83', '84', '85', '86', '87', '88', '9', '90', '91', '92', '93', '94', '96', '97', '98', '99', '95', '25', '68', '89', '3', '64', '52', '79', '29', '60', '37']"
gka_33,huffner,10,4.0,6.0,90,"['0', '1', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '2', '20', '23', '24', '25', '26', '27', '28', '29', '3', '30', '31', '32', '33', '34', '35', '37', '38', '4', '40', '41', '42', '43', '44', '45', '46', '47', '48', '49', '5', '51', '53', '54', '55', '56', '58', '59', '6', '60', '61', '62', '63', '64', '65', '67', '68', '69', '7', '70', '71', '72', '73', '74', '75', '76', '77', '78', '79', '8', '80', '81', '82', '83', '84', '85', '86', '87', '88', '9', '90', '91', '93', '94', '95', '96', '97', '98', '99']"
gka_34,huffner,10,4.0,4.2,92,"['0', '1', '10', '11', '13', '14', '15', '16', '18', '19', '2', '20', '21', '22', '23', '25', '26', '27', '28', '29', '3', '30', '31', '32', '33', '34', '35', '37', '38', '39', '4', '40', '41', '42', '43', '44', '45', '46', '47', '48', '49', '5', '50', '51', '52', '53', '54', '55', '56', '57', '58', '59', '60', '61', '62', '63', '64', '65', '66', '67', '68', '69', '7', '70', '71', '72', '73', '74', '77', '78', '79', '8', '80', '81', '82', '83', '84', '85', '86', '87', '88', '89', '9', '90', '91', '92', '93', '94', '95', '96', '98', '99']"
gka_35,huffner,10,4.0,4.0,0,[]
bqp50_1,huffner,10,4.0,4.0,11,"['13', '14', '30', '32', '33', '37', '38', '47', '49', '5', '6']"
bqp50_2,huffner,10,4.0,4.0,11,"['15', '21', '27', '30', '31', '33', '34', '38', '43', '5', '9']"
bqp50_3,huffner,10,4.0,4.1,14,"['0', '10', '14', '22', '26', '31', '39', '40', '41', '42', '43', '5', '8', '9']"
bqp50_4,huffner,10,4.0,4.0,11,"['13', '14', '17', '19', '20', '23', '36', '41', '42', '45', '7']"
bqp50_5,huffner,10,4.0,4.0,13,"['17', '2', '26', '29', '31', '32', '33', '35', '37', '47', '48', '49', '9']"
bqp50_6,huffner,10,4.0,4.0,9,"['11', '16', '20', '21', '22', '23', '37', '6', '8']"
bqp50_7,huffner,10,4.0,4.0,9,"['1', '13', '14', '15', '16', '23', '39', '43', '47']"
bqp50_8,huffner,10,4.0,4.5,14,"['0', '12', '14', '16', '17', '19', '24', '25', '26', '29', '35', '37', '5', '8']"
bqp50_9,huffner,10,4.0,4.0,12,"['0', '10', '14', '15', '17', '20', '23', '27', '29', '34', '37', '41']"
bqp50_10,huffner,10,4.0,4.0,11,"['0', '12', '15', '18', '25', '26', '3', '4', '41', '6', '7']"
bqp100_1,huffner,10,4.0,10,43,"['10', '12', '13', '19', '26', '27', '34', '36', '39', '4', '46', '52', '57', '67', '71', '72', '73', '88', '91', '98', '99', '60', '17', '23', '47', '80', '61', '1', '29', '31', '54', '89', '90', '62', '2', '14', '93', '83', '6', '53', '65', '79', '9']"
bqp100_2,huffner,10,4.0,10,43,"['11', '13', '2', '21', '22', '26', '3', '31', '34', '40', '48', '51', '56', '59', '66', '69', '71', '72', '74', '75', '85', '96', '14', '47', '68', '41', '87', '27', '76', '12', '99', '94', '16', '98', '28', '93', '73', '45', '29', '7', '54', '20', '23']"
bqp100_3,huffner,10,4.0,10,44,"['1', '10', '18', '23', '25', '31', '33', '34', '36', '46', '47', '50', '52', '53', '56', '57', '58', '63', '65', '9', '98', '74', '76', '40', '19', '39', '59', '6', '20', '71', '82', '86', '38', '35', '77', '8', '60', '0', '26', '81', '45', '22', '73', '43']"
